"slug","name","type","club","league","nationality","search_terms","priority","notes"
"abril-torne","Abril Torne","player","AVILÃ‰S","Feb LF2","Spanish","Abril Torne AVILÃ‰S basketball; Abril Torne stats; Abril Torne Feb LF2; Abril Torne news","medium",""
"afonso-coelho","Afonso Coelho",,"Barreirense","FPB - Pro Liga","Portuguese","Afonso Coelho Barreirense basketball; Afonso Coelho stats; Afonso Coelho FPB - Pro Liga; Afonso Coelho news","medium",""
"ainhoa-lacorzana","Ainhoa Lacorzana",,"Casademont Zaragoza","Endesa","Espanhola","Ainhoa Lacorzana Casademont Zaragoza basketball; Ainhoa Lacorzana stats; Ainhoa Lacorzana Endesa; Ainhoa Lacorzana news","medium",""
"alexia-dizeko","Alexia Dizeko","player","Quinta dos Lombos","Liga Betclic","Angolan","Alexia Dizeko Quinta dos Lombos basketball; Alexia Dizeko stats; Alexia Dizeko Liga Betclic; Alexia Dizeko news","high",""
"alexis-pou","Alexis Pou","player","Lleida","Feb","Spanish","Alexis Pou Lleida basketball; Alexis Pou stats; Alexis Pou Feb; Alexis Pou news","medium",""
"andre-silva","AndrÃ© Silva",,"SC Braga","FPB - Portuguese","Portuguese","AndrÃ© Silva SC Braga basketball; AndrÃ© Silva stats; AndrÃ© Silva FPB - Portuguese; AndrÃ© Silva news","medium",""
"angelo-alexandre","Angelo Alexandre",,"CB Hospitalet","Feb Plata","Angolana","Angelo Alexandre CB Hospitalet basketball; Angelo Alexandre stats; Angelo Alexandre Feb Plata; Angelo Alexandre news","medium",""
"antonio","Antonio",,"Broncos","Mongolian Basketball League (MBL)","Espanhola","Antonio Broncos basketball; Antonio stats; Antonio Mongolian Basketball League (MBL); Antonio news","medium",""
"antonio-moreira","AntÃ´nio Moreira",,"SC Braga","FPB - Portugal","Portuguese","AntÃ´nio Moreira SC Braga basketball; AntÃ´nio Moreira stats; AntÃ´nio Moreira FPB - Portugal; AntÃ´nio Moreira news","medium",""
"antonio-perez","Antonio Perez",,"Free","Free","Espanhola","Antonio Perez Free basketball; Antonio Perez stats; Antonio Perez Free; Antonio Perez news","high",""
"armando-gomez","Armando GÃƒÂ³mez",,"Real Madrid","Endesa - Cadete","Espanhola","Armando GÃƒÂ³mez Real Madrid basketball; Armando GÃƒÂ³mez stats; Armando GÃƒÂ³mez Endesa - Cadete; Armando GÃƒÂ³mez news","medium",""
"arnette-hallman","Arnette Hallman",,"Club Queluz","FPB - Portugal","Portuguese","Arnette Hallman Club Queluz basketball; Arnette Hallman stats; Arnette Hallman FPB - Portugal; Arnette Hallman news","medium",""
"bamba-cisse","Bamba Cisse","player","1 de Agosto","Liga Angolana","Angolan","Bamba Cisse 1 de Agosto basketball; Bamba Cisse stats; Bamba Cisse Liga Angolana; Bamba Cisse news","medium",""
"brianna-jackson","Brianna Jackson","player","Castellon","Feb Challenge","American","Brianna Jackson Castellon basketball; Brianna Jackson stats; Brianna Jackson Feb Challenge; Brianna Jackson news","high",""
"carolina-kert","Carolina Kert","player","Riga","WBBL","Finnish","Carolina Kert Riga basketball; Carolina Kert stats; Carolina Kert WBBL; Carolina Kert news","medium",""
"catarina-neves","Catarina Neves","player","GDRAR","Betclic","Portugues","Catarina Neves GDRAR basketball; Catarina Neves stats; Catarina Neves Betclic; Catarina Neves news","medium",""
"cleusio-castro","Cleusio Castro","player","Petro de Luanda","FAB - FederaÃƒÂ§ÃƒÂ£o Angolana de Basquetebo","Angolana","Cleusio Castro Petro de Luanda basketball; Cleusio Castro stats; Cleusio Castro FAB - FederaÃƒÂ§ÃƒÂ£o Angolana de Basquetebo; Cleusio Castro news","high",""
"darnell-snyers","Darnell Snyers",,"Calvo Basket Xiria","FEB 3","Belgian","Darnell Snyers Calvo Basket Xiria basketball; Darnell Snyers stats; Darnell Snyers FEB 3; Darnell Snyers news","medium",""
"diego-niebla","Diego Niebla",,"Club Joventut Badalona","Liga Endesa - ACB","Espanhola","Diego Niebla Club Joventut Badalona basketball; Diego Niebla stats; Diego Niebla Liga Endesa - ACB; Diego Niebla news","high",""
"diogo-gameiro","Diogo Gameiro",,"SL Benfica","FPB - Portugal","Portuguese","Diogo Gameiro SL Benfica basketball; Diogo Gameiro stats; Diogo Gameiro FPB - Portugal; Diogo Gameiro news","high",""
"eduardo","Eduardo","player","UniÃƒÂ£o Oliveirense","Liga Betclic","Portugues","Eduardo UniÃƒÂ£o Oliveirense basketball; Eduardo stats; Eduardo Liga Betclic; Eduardo news","medium",""
"elise-turnubiates","Elise turnubiates","player","Sanjoanense","Liga Betclic","American","Elise turnubiates Sanjoanense basketball; Elise turnubiates stats; Elise turnubiates Liga Betclic; Elise turnubiates news","medium",""
"eneko","Eneko",,"Bilbao","Endesa - ACB","Spanish","Eneko Bilbao basketball; Eneko stats; Eneko Endesa - ACB; Eneko news","medium",""
"eva-carregosa","Eva Carregosa",,"CD Zamarat","LF Challenge","Portuguese","Eva Carregosa CD Zamarat basketball; Eva Carregosa stats; Eva Carregosa LF Challenge; Eva Carregosa news","medium",""
"floor-bohre","Floor Bohre","player","Adareva Tenerife","Feb challenge","Dutch","Floor Bohre Adareva Tenerife basketball; Floor Bohre stats; Floor Bohre Feb challenge; Floor Bohre news","medium",""
"fran-hernandez","Fran HernÃ¡ndez",,"Obradoiro","ACB","Espanhola","Fran HernÃ¡ndez Obradoiro basketball; Fran HernÃ¡ndez stats; Fran HernÃ¡ndez ACB; Fran HernÃ¡ndez news","medium",""
"ines-vieira","Ines Vieira","player","MElilla","Feb Challenge","Portugues","Ines Vieira MElilla basketball; Ines Vieira stats; Ines Vieira Feb Challenge; Ines Vieira news","high",""
"inigo","ÃÃ±igo",,"Bilbao","Endesa - ACB","Spanish","ÃÃ±igo Bilbao basketball; ÃÃ±igo stats; ÃÃ±igo Endesa - ACB; ÃÃ±igo news","medium",""
"javi-malla","Javi Malla",,"Free Agent","Free Agent","Espanhola","Javi Malla Free Agent basketball; Javi Malla stats; Javi Malla Free Agent; Javi Malla news","medium",""
"joana-antonio","Joana Antonio",,"TSA Tallinn W","WBBL Women","Angolana","Joana Antonio TSA Tallinn W basketball; Joana Antonio stats; Joana Antonio WBBL Women; Joana Antonio news","medium",""
"joana-soeiro","Joana Soeiro",,"SL Benfica","Liga Betclic Feminina","Portugues","Joana Soeiro SL Benfica basketball; Joana Soeiro stats; Joana Soeiro Liga Betclic Feminina; Joana Soeiro news","high",""
"jorge-niebla","Jorge Niebla","player","Real Madrid","Espanhola","Spanish","Jorge Niebla Real Madrid basketball; Jorge Niebla stats; Jorge Niebla Espanhola; Jorge Niebla news","medium",""
