"Slug","Name","Type","Gender","Club","Position","Nationality","League","Status","HasPhoto","HasBio","HasVideo","HasInstagram","HasYouTube","StatsGames"
"abril-torne","Abril Torne","player","female","AVILÃ‰S","Center","Spanish","Feb LF2","active","True","False","False","False","False","0"
"afonso-coelho","Afonso Coelho",,"Masculino","Barreirense","Point Guard","Portuguese","FPB - Pro Liga","active","True","False","False","False","False","0"
"ainhoa-lacorzana","Ainhoa Lacorzana",,"Femenino","Casademont Zaragoza","shooting guard","Espanhola","Endesa","active","True","False","False","False","False","0"
"alexia-dizeko","Alexia Dizeko","player","female","Quinta dos Lombos","Guard","Angolan","Liga Betclic","active","True","False","False","False","False","0"
"alexis-pou","Alexis Pou","player","male","Lleida","forward","Spanish","Feb","active","True","False","False","False","False","0"
"andre-silva","AndrÃ© Silva",,"Masculino","SC Braga","Guard","Portuguese","FPB - Portuguese","active","True","False","False","False","False","0"
"angelo-alexandre","Angelo Alexandre",,"Masculino","CB Hospitalet","Forward","Angolana","Feb Plata","active","True","False","False","False","False","0"
"antonio","Antonio",,"Masculino","Free Agent","Treinador","Espanhola","Free Agent","active","True","False","False","False","False","0"
"antonio-moreira","AntÃ´nio Moreira",,"male","SC Braga","Forward","Portuguese","FPB - Portugal","active","True","False","False","False","False","0"
"antonio-perez","Antonio Perez",,"Masculino","Free","treinador","Espanhola","Free","active","True","False","False","False","False","0"
"armando-gomez","Armando GÃƒÂ³mez",,"Masculino","Real Madrid","Treinador","Espanhola","Endesa - Cadete","active","True","False","False","False","False","0"
"arnette-hallman","Arnette Hallman",,"Masculino","Club Queluz","Small Forward","Portuguese","FPB - Portugal","active","True","False","True","False","False","0"
"bamba-cisse","Bamba Cisse","player","male","1 de Agosto","forward","Angolan","Liga Angolana","active","True","False","False","False","False","0"
"brianna-jackson","Brianna Jackson","player","female","Castellon","Forward","American","Feb Challenge","active","True","False","False","False","False","0"
"carolina-kert","Carolina Kert","player","female","Riga","Point Guard","Finnish","WBBL","active","True","False","False","False","False","0"
"catarina-neves","Catarina Neves","player","female","GDRAR","Point Guard","Portugues","Betclic","active","True","False","False","False","False","0"
"cleusio-castro","Cleusio Castro","player","male","Petro de Luanda","Centre","Angolana","FAB - FederaÃƒÂ§ÃƒÂ£o Angolana de Basquetebo","active","True","False","False","False","False","0"
